dataset;label;message_id;variant_filename;vocab_type;codepoint;salt_location;n_insert_subject;n_insert_body;spam_flag;score;threshold;rule_count;rules;protocol_line;spamd_headers
baseline;spam;00028.60393e49c90f750226bee6381eb3e69d;;;;none;;;False;1.2;5.0;4;BANG_GUAR|LOTS_OF_MONEY|PP_MIME_FAKE_ASCII_TEXT|T_MONEY_PERCENT;SPAMD/1.1 0 EX_OK;"Content-length: 1246 | Spam: False ; 1.2 / 5.0"
baseline;spam;00029.de865ad8d5ad0df985ae2f72388befba;;;;none;;;False;2.7;5.0;1;FREE_QUOTE_INSTANT	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1921 | Spam: False ; 2.7 / 5.0"
baseline;spam;00030.b360f27c098b3ab5cff96433e7963d4a;;;;none;;;False;1.0;5.0;2;FSL_HELO_NON_FQDN_1|HELO_NO_DOMAIN;SPAMD/1.1 0 EX_OK;"Content-length: 798 | Spam: False ; 1.0 / 5.0"
baseline;spam;00031.a78bb452b3a7376202b5e62a81530449;;;;none;;;False;0.2;5.0;1;HEADER_FROM_DIFFERENT_DOMAINS	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 2030 | Spam: False ; 0.2 / 5.0"
baseline;spam;00032.3b93a3c65e0a2454fc9646ce01363938;;;;none;;;False;3.6;5.0;5;FSL_HELO_NON_FQDN_1|HELO_NO_DOMAIN|LOTS_OF_MONEY|MIXED_HREF_CASE|MONEY_FREEMAIL_REPTO	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1276 | Spam: False ; 3.6 / 5.0"
baseline;spam;00032.7b07a09236ce9feb12d80197144d3206;;;;none;;;False;0.2;5.0;1;HEADER_FROM_DIFFERENT_DOMAINS	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 2442 | Spam: False ; 0.2 / 5.0"
baseline;spam;00033.9babb58d9298daa2963d4f514193d7d6;;;;none;;;False;3.7;5.0;3;END_FUTURE_EMAILS|EXCUSE_REMOVE|LOTS_OF_MONEY;SPAMD/1.1 0 EX_OK;"Content-length: 1806 | Spam: False ; 3.7 / 5.0"
baseline;spam;00034.8e582263070076dfe6000411d9b13ce6;;;;none;;;False;3.7;5.0;2;BANG_GUAR|GUARANTEED_100_PERCENT;SPAMD/1.1 0 EX_OK;"Content-length: 1273 | Spam: False ; 3.7 / 5.0"
baseline;spam;00036.256602e2cb5a5b373bdd1fb631d9f452;;;;none;;;True;11.0;5.0;9;ADVANCE_FEE_2_NEW_FRM_MNY|BIGNUM_EMAILS_MANY|DEAR_FRIEND|FIN_FREE|LOTS_OF_MONEY|MONEY_FORM|THIS_AD|T_FILL_THIS_FORM_LOAN|T_HTML_ATTACH;SPAMD/1.1 0 EX_OK;"Content-length: 778 | Spam: True ; 11.0 / 5.0"
baseline;spam;00037.21cc985cc36d931916863aed24de8c27;;;;none;;;False;1.0;5.0;1;DRUG_ED_CAPS	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1653 | Spam: False ; 1.0 / 5.0"
baseline;spam;00037.c7f0ce13d4cad8202f3d1a02b5cc5a1d;;;;none;;;True;10.5;5.0;9;ADVANCE_FEE_5_NEW_MONEY|HEADER_FROM_DIFFERENT_DOMAINS|HK_NAME_MR_MRS|LOTS_OF_MONEY|MILLION_USD|MONEY_FREEMAIL_REPTO|MSOE_MID_WRONG_CASE|PP_MIME_FAKE_ASCII_TEXT|T_MONEY_PERCENT;SPAMD/1.1 0 EX_OK;"Content-length: 841 | Spam: True ; 10.5 / 5.0"
baseline;spam;00038.8d93819b95ff90bf2e2b141c2909bfc9;;;;none;;;False;0.2;5.0;1;MARKETING_PARTNERS	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1137 | Spam: False ; 0.2 / 5.0"
baseline;spam;00038.906d76babc3d78d6294c71b1b52d4d7f;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1221 | Spam: False ; 0.0 / 5.0"
baseline;spam;00039.1295593cb1da98e80123f333def0b8dd;;;;none;;;True;6.1;5.0;7;BANG_GUAR|BIGNUM_EMAILS_MANY|FIN_FREE|HK_RANDOM_ENVFROM|HK_RANDOM_FROM|LOTS_OF_MONEY|THIS_AD	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 690 | Spam: True ; 6.1 / 5.0"
baseline;spam;00040.949a3d300eadb91d8745f1c1dab51133;;;;none;;;True;5.4;5.0;3;DEAR_SOMETHING|HEADER_FROM_DIFFERENT_DOMAINS|MSOE_MID_WRONG_CASE;SPAMD/1.1 0 EX_OK;"Content-length: 689 | Spam: True ; 5.4 / 5.0"
baseline;spam;00041.1b8dedcc43e75c0f4cd5e0d12c4eea8b;;;;none;;;False;0.1;5.0;1;BAD_CREDIT;SPAMD/1.1 0 EX_OK;"Content-length: 1105 | Spam: False ; 0.1 / 5.0"
baseline;spam;00041.f1b3402799046db3c1f143a911dc085d;;;;none;;;True;5.1;5.0;2;DEAR_SOMETHING|MSOE_MID_WRONG_CASE;SPAMD/1.1 0 EX_OK;"Content-length: 671 | Spam: True ; 5.1 / 5.0"
baseline;spam;00043.548c447db5d9ba3f5546de96baa9b0e6;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1412 | Spam: False ; 0.0 / 5.0"
baseline;spam;00044.9eece8e53a8982c26558b9eb38230bb8;;;;none;;;True;6.3;5.0;4;AXB_XMAILER_MIMEOLE_OL_024C2|EXCUSE_24|MSOE_MID_WRONG_CASE|THIS_AD;SPAMD/1.1 0 EX_OK;"Content-length: 913 | Spam: True ; 6.3 / 5.0"
baseline;spam;00044.9f8c4b9ae007c6ded3d57476082bf2b2;;;;none;;;False;1.2;5.0;2;BANG_GUAR|PP_MIME_FAKE_ASCII_TEXT;SPAMD/1.1 0 EX_OK;"Content-length: 1236 | Spam: False ; 1.2 / 5.0"
baseline;spam;00045.7282c2c4e009744f2f3450d370009235;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1614 | Spam: False ; 0.0 / 5.0"
baseline;spam;00045.c1a84780700090224ce6ab0014b20183;;;;none;;;True;5.6;5.0;4;BIGNUM_EMAILS_MANY|END_FUTURE_EMAILS|LOTS_OF_MONEY|MONEY_FORM;SPAMD/1.1 0 EX_OK;"Content-length: 697 | Spam: True ; 5.6 / 5.0"
baseline;spam;00046.e0fd04360622dbe9250380447f6465cc;;;;none;;;False;0.1;5.0;1;LOW_PRICE;SPAMD/1.1 0 EX_OK;"Content-length: 1512 | Spam: False ; 0.1 / 5.0"
baseline;spam;00047.0d7a240951e460b5884a8886ee64a8c3;;;;none;;;False;1.5;5.0;1;ENGLISH_UCE_SUBJECT	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1171 | Spam: False ; 1.5 / 5.0"
baseline;spam;00048.8a64080dbd9d868358a22b655fb1b1cd;;;;none;;;False;1.0;5.0;2;FSL_HELO_NON_FQDN_1|HELO_NO_DOMAIN;SPAMD/1.1 0 EX_OK;"Content-length: 1131 | Spam: False ; 1.0 / 5.0"
baseline;spam;00048.91474353d7616d0df44b0fb04e2899ff;;;;none;;;False;3.4;5.0;1;MSOE_MID_WRONG_CASE	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 949 | Spam: False ; 3.4 / 5.0"
baseline;spam;00049.83a0ff17486ed3866aeed9f45f5b3389;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 706 | Spam: False ; 0.0 / 5.0"
baseline;spam;00050.45de99e8c120fddafe7c89fb3de1c14f;;;;none;;;False;2.7;5.0;1;FREE_QUOTE_INSTANT	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1684 | Spam: False ; 2.7 / 5.0"
baseline;spam;00051.8b17ce16ace4d5845e2299c0123e1f14;;;;none;;;False;1.1;5.0;3;ACT_NOW_CAPS|LOTS_OF_MONEY|MONEY_BACK;SPAMD/1.1 0 EX_OK;"Content-length: 1264 | Spam: False ; 1.1 / 5.0"
baseline;spam;00051.fd20658f0e586d1f27f9396401f4981c;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1407 | Spam: False ; 0.0 / 5.0"
baseline;spam;00052.edb775ef7470f35cd593d07e5a0466a8;;;;none;;;False;4.3;5.0;2;AXB_XMAILER_MIMEOLE_OL_024C2|MSOE_MID_WRONG_CASE;SPAMD/1.1 0 EX_OK;"Content-length: 1704 | Spam: False ; 4.3 / 5.0"
baseline;spam;00053.6e5c80e892cad9c9e6b04abe49a9031e;;;;none;;;False;0.2;5.0;2;BAD_CREDIT|FIN_FREE	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 926 | Spam: False ; 0.2 / 5.0"
baseline;spam;00054.62863160db27f89df8c73275b6dae134;;;;none;;;False;4.2;5.0;2;ENGLISH_UCE_SUBJECT|FREE_QUOTE_INSTANT;SPAMD/1.1 0 EX_OK;"Content-length: 1196 | Spam: False ; 4.2 / 5.0"
baseline;spam;00055.58adfd0c60ebc04370658a76b9352aa1;;;;none;;;False;2.2;5.0;2;HEADER_FROM_DIFFERENT_DOMAINS|MIXED_HREF_CASE;SPAMD/1.1 0 EX_OK;"Content-length: 1453 | Spam: False ; 2.2 / 5.0"
baseline;spam;00056.c56d61cadd81b4ade0030c8dee384704;;;;none;;;False;4.1;5.0;4;BODY_ENHANCEMENT|BODY_ENHANCEMENT2|HEADER_FROM_DIFFERENT_DOMAINS|IMPOTENCE	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1500 | Spam: False ; 4.1 / 5.0"
baseline;spam;00057.0a2e17bde9485e999ac2259df38528e2;;;;none;;;False;1.5;5.0;1;ENGLISH_UCE_SUBJECT	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1174 | Spam: False ; 1.5 / 5.0"
baseline;spam;00058.64bb1902c4e561fb3e521a6dbf8625be;;;;none;;;False;2.7;5.0;1;FREE_QUOTE_INSTANT	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1667 | Spam: False ; 2.7 / 5.0"
baseline;spam;00059.d7351d4fe66fb96d83ffb65b4a60b3cc;;;;none;;;False;3.7;5.0;2;END_FUTURE_EMAILS|EXCUSE_REMOVE;SPAMD/1.1 0 EX_OK;"Content-length: 764 | Spam: False ; 3.7 / 5.0"
baseline;spam;00059.dc5b9ea22c6848c97871f0d9576cc931;;;;none;;;False;2.3;5.0;1;TVD_SUBJ_WIPE_DEBT	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1926 | Spam: False ; 2.3 / 5.0"
baseline;spam;00060.639a625d0a724d7411e1d5e2e7cb2bc3;;;;none;;;False;0.7;5.0;1;END_FUTURE_EMAILS	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1169 | Spam: False ; 0.7 / 5.0"
baseline;spam;00060.ec71d52a6f585ace52f4a2a2be2adfce;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1283 | Spam: False ; 0.0 / 5.0"
baseline;spam;00063.2334fb4e465fc61e8406c75918ff72ed;;;;none;;;False;3.6;5.0;2;MSOE_MID_WRONG_CASE|PP_MIME_FAKE_ASCII_TEXT;SPAMD/1.1 0 EX_OK;"Content-length: 1720 | Spam: False ; 3.6 / 5.0"
baseline;spam;00063.98dc120045d9b6c675c286524bf893ba;;;;none;;;False;3.7;5.0;2;END_FUTURE_EMAILS|EXCUSE_REMOVE;SPAMD/1.1 0 EX_OK;"Content-length: 756 | Spam: False ; 3.7 / 5.0"
baseline;spam;00064.65b95365450ebe5eef61e7f1c60edc5e;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1244 | Spam: False ; 0.0 / 5.0"
baseline;spam;00064.839dfb3973ed439e19c1ca77cffdab3d;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1014 | Spam: False ; 0.0 / 5.0"
baseline;spam;00065.6203de135559b319326445aafd68dbca;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1347 | Spam: False ; 0.0 / 5.0"
baseline;spam;00065.9c8ae6822b427f2dbee5339d561a2888;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1018 | Spam: False ; 0.0 / 5.0"
baseline;spam;00067.ec108870b01dc3ccb8fabc5def869ca5;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 2435 | Spam: False ; 0.0 / 5.0"
baseline;spam;00068.2999b3d00828ac3fbd6a7cd27a6c6321;;;;none;;;False;3.6;5.0;2;BANG_GUAR|DEAR_FRIEND	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 972 | Spam: False ; 3.6 / 5.0"
baseline;spam;00068.d10af636a6082d5172ceb34a944486e6;;;;none;;;False;1.1;5.0;2;BAD_CREDIT|BANG_GUAR	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1769 | Spam: False ; 1.1 / 5.0"
baseline;spam;00069.066b1a012235d062a5da73eead4a6b35;;;;none;;;False;2.2;5.0;3;END_FUTURE_EMAILS|FSL_HELO_BARE_IP_1|LOTS_OF_MONEY;SPAMD/1.1 0 EX_OK;"Content-length: 1626 | Spam: False ; 2.2 / 5.0"
baseline;spam;00070.598f33a87fd0df81c691f9109fc2378a;;;;none;;;False;0.1;5.0;2;BAD_CREDIT|LOTS_OF_MONEY	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 858 | Spam: False ; 0.1 / 5.0"
baseline;spam;00071.11f438a86f442fd5a0772eb3908c12b4;;;;none;;;True;6.4;5.0;3;END_FUTURE_EMAILS|MSOE_MID_WRONG_CASE|TVD_SUBJ_WIPE_DEBT;SPAMD/1.1 0 EX_OK;"Content-length: 701 | Spam: True ; 6.4 / 5.0"
baseline;spam;00072.d519a73b92f487519c2bc5ba45f5eb2c;;;;none;;;False;1.3;5.0;2;PP_MIME_FAKE_ASCII_TEXT|SUBJ_ILLEGAL_CHARS;SPAMD/1.1 0 EX_OK;"Content-length: 1435 | Spam: False ; 1.3 / 5.0"
baseline;spam;00072.eb147f0714c89bf35a0ab1852890555d;;;;none;;;False;3.7;5.0;2;END_FUTURE_EMAILS|EXCUSE_REMOVE;SPAMD/1.1 0 EX_OK;"Content-length: 1033 | Spam: False ; 3.7 / 5.0"
baseline;spam;00073.8dcd40346d48c69a9e075e935395e96d;;;;none;;;False;2.0;5.0;2;DEAR_SOMETHING|HEADER_FROM_DIFFERENT_DOMAINS;SPAMD/1.1 0 EX_OK;"Content-length: 1895 | Spam: False ; 2.0 / 5.0"
baseline;spam;00074.51aab41b27a9ba7736803318a2e4c8de;;;;none;;;False;0.0;5.0;1;none;SPAMD/1.1 0 EX_OK;"Content-length: 1510 | Spam: False ; 0.0 / 5.0"
baseline;spam;00074.f7cfc6a5142e788004e0cff70e3a36c0;;;;none;;;True;6.3;5.0;5;DRUG_ED_CAPS|FUZZY_PHENT|LOW_PRICE|ONLINE_PHARMACY|TVD_VISIT_PHARMA;SPAMD/1.1 0 EX_OK;"Content-length: 708 | Spam: True ; 6.3 / 5.0"
baseline;spam;00075.28a918cd03a0ef5aa2f1e0551a798108;;;;none;;;False;2.1;5.0;3;DEAR_SOMETHING|HEADER_FROM_DIFFERENT_DOMAINS|LOW_PRICE;SPAMD/1.1 0 EX_OK;"Content-length: 2093 | Spam: False ; 2.1 / 5.0"
baseline;spam;00076.066bf704d9c4a3cf45da5ac7a6b684f8;;;;none;;;False;2.1;5.0;3;DEAR_SOMETHING|HEADER_FROM_DIFFERENT_DOMAINS|LOW_PRICE;SPAMD/1.1 0 EX_OK;"Content-length: 2100 | Spam: False ; 2.1 / 5.0"
baseline;spam;00077.6e13224e39fae4b94bcbe0f5ae9f4939;;;;none;;;False;0.1;5.0;1;ACT_NOW_CAPS	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1240 | Spam: False ; 0.1 / 5.0"
baseline;spam;00077.c85b7442247d61308f15d86aa125ec28;;;;none;;;False;4.9;5.0;3;ADVANCE_FEE_5_NEW_MONEY|LOTS_OF_MONEY|MILLION_USD;SPAMD/1.1 0 EX_OK;"Content-length: 1548 | Spam: False ; 4.9 / 5.0"
baseline;spam;00078.6944f51ce9c0586d8f9137d2d2207df0;;;;none;;;False;1.0;5.0;3;CONTENT_AFTER_HTML|TVD_APPROVED|T_KAM_HTML_FONT_INVALID;SPAMD/1.1 0 EX_OK;"Content-length: 1715 | Spam: False ; 1.0 / 5.0"
baseline;spam;00079.cc3fa7d977a44a09d450dde5db161c37;;;;none;;;False;1.7;5.0;1;DEAR_SOMETHING	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1331 | Spam: False ; 1.7 / 5.0"
baseline;spam;00080.5a7386cb47846dfef68429241ad80354;;;;none;;;False;0.0;5.0;1;LOTS_OF_MONEY	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1605 | Spam: False ; 0.0 / 5.0"
