message_id;baseline_bayes;salted_best_bayes;n_variants;salted_any_bayes;salted_all_bayes
00483.e583ffb0efd3958cdef2e9f3b043ef0d;BAYES_999;BAYES_999;4;True;True
00485.a5d28b804adbceff7fd75ed9fc8138bb;BAYES_999;BAYES_999;4;True;True
00494.6d13d2217c5cc00c26b72d97c7fe6014;BAYES_999;BAYES_999;4;True;True
00506.85af6cd716febc6265ac7b362a4a1da6;BAYES_999;BAYES_999;4;True;True
00509.385c788f39e46a86be4c6af8679a0c80;BAYES_999;BAYES_999;4;True;True
00510.ce04ead27e498e82285ea6dbb0837c13;BAYES_80;BAYES_80;4;True;True
00523.8dad1340c87f606b1f0696df64d9063c;BAYES_999;BAYES_999;4;True;True
00531.f3fffa4504c7009a03dd0d44a4562a84;BAYES_999;BAYES_999;4;True;True
00554.c325ab7400fb7e3f053ed0cac4ed7545;BAYES_95;BAYES_80;4;True;True
00568.9099cfcce869f4ecf337fc666f04c11d;BAYES_999;BAYES_999;4;True;True
00582.2db3b12f1cbf87ef3a64d26c35561a5b;BAYES_999;BAYES_999;4;True;True
00602.8b839b13833d7ca3abd6f6179ccc0286;BAYES_999;BAYES_999;4;True;True
00615.e47bff6118d4ff6d98581fa6f40ab871;BAYES_999;BAYES_999;4;True;True
00631.5b4f290bc474889ff457b314996553b1;BAYES_999;BAYES_999;4;True;True
00632.f90d0f620d4a4c4976e1c5884333f329;BAYES_999;BAYES_999;4;True;True
00643.d177c04238b4299813b7d8cca9fb2f18;BAYES_999;BAYES_999;4;True;True
00658.2324b3351e766248275bace98fd3c7b3;BAYES_999;BAYES_999;4;True;True
00659.668ba8daca71e86de0ee5e412b177015;BAYES_999;BAYES_999;4;True;True
00663.4baa9521293a04306b038be1f65d4471;BAYES_999;BAYES_999;4;True;True
00667.6bf743b1b5bdfe9340d438c0661e4bff;BAYES_999;BAYES_999;4;True;True
00678.7c54f6e0fac3e7d26a9513d2c60e2b98;BAYES_999;BAYES_999;4;True;True
00680.e8df67f239cb166c5a8a78401eeeb1ba;BAYES_999;BAYES_999;4;True;True
00694.3aca5f2a3d0d2ccbc47ef868eb051abd;BAYES_999;BAYES_999;4;True;True
00697.2d221d167d2814a6a6bc7a74b65bcb0e;BAYES_999;BAYES_999;4;True;True
00701.ea27d8eea96c7d361ea78613d0a3c481;BAYES_999;BAYES_999;4;True;True
00705.df125edb37f19c87784942c7b2b164a1;BAYES_80;BAYES_80;4;True;True
00706.5116018237368c3633823b2d24f8ac86;BAYES_999;BAYES_999;4;True;True
00718.2495a50c4eab3755f338b5fe589dd52d;BAYES_999;BAYES_999;4;True;True
00738.10deb784a63c0bdc5e78b019720f3e9f;BAYES_999;BAYES_999;4;True;True
00740.ce4777381c2bc6bee30bef6bd274233f;BAYES_999;BAYES_999;4;True;True
00757.c2da75286819a139e27438ca5c5ba762;BAYES_95;BAYES_95;4;True;True
00762.e31568dff471c947d42869ae2f8f0779;BAYES_999;BAYES_999;4;True;True
00795.61fe820f7755e4b4e66e715ea667b338;BAYES_999;BAYES_999;4;True;True
00796.1f29c490fd2bd8581d19e3e193978a3d;BAYES_999;BAYES_999;4;True;True
00807.8abdd26ba778758f5e46b84a54ac62f4;BAYES_999;BAYES_999;4;True;True
00810.bceaa748f9cee012c466212d8a608acf;BAYES_80;BAYES_60;4;True;True
00830.079ed7d24f78024e023b82417a6fe2ca;BAYES_999;BAYES_999;4;True;True
00861.e8b94fc9514d2d2cbb541b01e2dda726;BAYES_999;BAYES_999;4;True;True
00891.730d12d96dcfa7812a51d12d9a3b6a1c;BAYES_80;BAYES_60;4;True;True
00925.6ba2770acb214c661a26e54b4d03c119;BAYES_999;BAYES_999;4;True;True
00939.8d335bc76836e51b449de9f6b38aa0f8;BAYES_999;BAYES_999;4;True;True
00940.33bee147237876bc1f28b1bf21b586a0;BAYES_999;BAYES_999;4;True;True
00947.e4d80402e902f1ea42cfc539bb279afd;BAYES_999;BAYES_999;4;True;True
00956.bd15831ffe9661a5395b8ec491a4fed2;BAYES_999;BAYES_999;4;True;True
00962.452e4bd0724bf1139c9bc4eb9ec0fe43;BAYES_999;BAYES_999;4;True;True
00973.ca8a425093e9994271e922f4d60f775c;BAYES_999;BAYES_999;4;True;True
01008.5e932696d8f33950af53eb9461a014a2;BAYES_999;BAYES_999;4;True;True
01011.d4812088cad8553fb214dab8003add9b;BAYES_999;BAYES_999;4;True;True
01014.98c1d0a70f88efb979d9ca65e945363e;BAYES_999;BAYES_999;4;True;True
01016.ac6ce255291deba2f46cdd8ddba3ea01;BAYES_999;BAYES_999;4;True;True
01036.87c1f0b55cb48bd36c8863cf700cd485;BAYES_999;BAYES_999;4;True;True
01075.07ee7f1ab5ad6659c47baa5ef3691a80;BAYES_999;BAYES_999;4;True;True
01079.9eb95fd88f3d9d551f8c64359470ae7e;BAYES_999;BAYES_999;4;True;True
01082.9f69cd26a420837850841e71d6147a57;BAYES_999;BAYES_999;4;True;True
01104.ec267abf01fe81c42dc90dfd16c930bc;BAYES_999;BAYES_999;4;True;True
01105.2582a4afba9b0b06bed5d48e3e8b29df;BAYES_999;BAYES_999;4;True;True
01130.f286229e3c2eeb5c682204de85d903c0;BAYES_999;BAYES_999;4;True;True
01131.c9bb07673bf9f048916cd2b9b1813724;BAYES_999;BAYES_999;4;True;True
01132.3d0e60ced92087634f1433f12810096d;BAYES_999;BAYES_999;4;True;True
01145.a34477ade6db9376e4f8ccbfa8607881;BAYES_999;BAYES_999;4;True;True
01151.e295c81d698d58f43f17bde22076cbef;BAYES_999;BAYES_999;4;True;True
01158.5acbdb7eb695f96c08d960a56058481d;BAYES_999;BAYES_999;4;True;True
01161.174f2cb358ca3f08f4308f87ca64842f;BAYES_999;BAYES_999;4;True;True
01165.8c661bf07a1a7a5fe8a9efc2439d17a1;BAYES_999;BAYES_999;4;True;True
01167.2ac57a0189fa2b8713202b84e587b707;BAYES_999;BAYES_999;4;True;True
01169.4e5cf6c3e8863047dbba1bfca2ebab97;BAYES_999;BAYES_999;4;True;True
01182.209dbb3bedae1ecd5ed23fb03049244e;BAYES_999;BAYES_999;4;True;True
01184.5216074bef5bb01e0b1301d375283c51;BAYES_999;BAYES_999;4;True;True
01203.f4c9144a594fb81ff323053fbd626a55;BAYES_999;BAYES_999;4;True;True
01216.e293653cab0c486ba135cf8fbe6700fc;BAYES_999;BAYES_999;4;True;True
01230.0589bade8df0c343a49c6712f62dfca0;BAYES_999;BAYES_999;4;True;True
01236.903d52340bf3ed1a328b039bcd94e1c9;BAYES_999;BAYES_999;4;True;True
01240.7d6ae3682a3dd3fe457516b188eb105c;BAYES_999;BAYES_999;4;True;True
01242.3743099b115c6a8a273d8eca34a9c738;BAYES_80;BAYES_80;4;True;True
01250.2bfc033f9ced1c70e480ec75b0094431;BAYES_999;BAYES_999;4;True;True
01253.26e421b9623002d636c29f79f68a58fb;BAYES_999;BAYES_999;4;True;True
01255.e04eae4539f81463a930dfe44ebd6af8;BAYES_999;BAYES_999;4;True;True
01257.f5908ef0550cdf91bd6ae55120ecb5ce;BAYES_999;BAYES_999;4;True;True
01259.b4dff1ed93bc931b271888cd42e41b85;BAYES_999;BAYES_999;4;True;True
01267.6e9de9ba20f59c26028ebdb4550685fb;BAYES_999;BAYES_999;4;True;True
01280.34dde162b3c6b2e873fc9f094d28b0fd;BAYES_999;BAYES_999;4;True;True
01308.c46f1215ccd8cedf162e0cf308b94dcd;BAYES_999;BAYES_999;4;True;True
01311.43bfe86df65d53c5f7ca2365dc12582b;BAYES_999;BAYES_999;4;True;True
01335.ca70ab7f2d1accef8b3cf646e3004ef8;BAYES_999;BAYES_999;4;True;True
01339.d94a16532a6f42497266dcc327a40163;BAYES_999;BAYES_999;4;True;True
01342.7f89acf56fb4398340a0b07481e3193f;BAYES_999;BAYES_999;4;True;True
01355.a47c042a6e16456c5b49c18d5b3868cb;BAYES_999;BAYES_999;4;True;True
01363.85518bca7c7cb9f35e57f3adda762ac9;BAYES_999;BAYES_999;4;True;True
01372.5d236077d94148a0ca71751f8f0a2e58;BAYES_999;BAYES_999;4;True;True
01374.b902d53d7f737be700d6de60a42122d9;BAYES_50;BAYES_50;4;True;True
01384.e23f94030a4393f0825eacd9de99eb31;BAYES_999;BAYES_999;4;True;True
01388.dba0966da5886e99fab13981da6c3834;BAYES_999;BAYES_999;4;True;True
01395.cb33d1d72f42e4ab9268729917bf428b;BAYES_999;BAYES_999;4;True;True
