dataset;label;message_id;variant_filename;vocab_type;codepoint;salt_location;n_insert_subject;n_insert_body;spam_flag;score;threshold;rule_count;rules;protocol_line;spamd_headers
baseline;spam;00064.65b95365450ebe5eef61e7f1c60edc5e;;;;none;;;True;14.5;5.0;7;BAYES_99|BAYES_999|DATE_IN_FUTURE_12_24|MISSING_MIMEOLE|MSGID_OUTLOOK_INVALID|RATWARE_MS_HASH|RDNS_NONE;SPAMD/1.1 0 EX_OK;"Content-length: 753 | Spam: True ; 14.5 / 5.0"
baseline;spam;00067.ec108870b01dc3ccb8fabc5def869ca5;;;;none;;;True;20.1;5.0;19;BAYES_99|BAYES_999|DATE_IN_FUTURE_06_12|FORGED_HOTMAIL_RCVD2|FREEMAIL_FROM|HTML_FONT_LOW_CONTRAST|HTML_MESSAGE|INVALID_DATE_TZ_ABSURD|MIME_HTML_ONLY|MSGID_OUTLOOK_INVALID|NORDNS_LOW_CONTRAST|NORMAL_HTTP_TO_IP|NUMERIC_HTTP_ADDR|RATWARE_MS_HASH|RATWARE_OUTLOOK_NONAME|RDNS_NONE|SPOOFED_FREEMAIL|SPOOFED_FREEMAIL_NO_RDNS|SUBJ_ALL_CAPS;SPAMD/1.1 0 EX_OK;"Content-length: 2074 | Spam: True ; 20.1 / 5.0"
baseline;spam;00074.f7cfc6a5142e788004e0cff70e3a36c0;;;;none;;;True;24.0;5.0;21;BAYES_99|BAYES_999|DATE_IN_FUTURE_48_96|DIET_1|DRUGS_DIET|DRUGS_ERECTILE|DRUG_ED_CAPS|FORGED_HOTMAIL_RCVD2|FREEMAIL_FROM|FREEMAIL_REPLY|FUZZY_PHENT|HTTP_ESCAPED_HOST|HTTP_EXCESSIVE_ESCAPES|INVALID_MSGID|LOW_PRICE|MISSING_MIMEOLE|MSGID_OUTLOOK_INVALID|ONLINE_PHARMACY|SPOOFED_FREEMAIL|SUBJ_ALL_CAPS|TVD_VISIT_PHARMA;SPAMD/1.1 0 EX_OK;"Content-length: 981 | Spam: True ; 24.0 / 5.0"
baseline;spam;00078.6944f51ce9c0586d8f9137d2d2207df0;;;;none;;;True;18.7;5.0;21;BAYES_99|BAYES_999|CONTENT_AFTER_HTML|DATE_IN_PAST_06_12|FORGED_OUTLOOK_HTML|FORGED_OUTLOOK_TAGS|FORGED_YAHOO_RCVD|FREEMAIL_ENVFROM_END_DIGIT|FREEMAIL_FROM|FREEMAIL_REPLYTO_END_DIGIT|HTML_MESSAGE|MIME_HTML_ONLY|MSGID_OUTLOOK_INVALID|RATWARE_MS_HASH|RCVD_FAKE_HELO_DOTCOM|RDNS_NONE|SPOOFED_FREEMAIL|SPOOFED_FREEMAIL_NO_RDNS|TO_NO_BRKTS_MSFT|TVD_APPROVED|T_KAM_HTML_FONT_INVALID;SPAMD/1.1 0 EX_OK;"Content-length: 1045 | Spam: True ; 18.7 / 5.0"
baseline;spam;00090.52630c4c07cd069c7bc7658c1a7a7253;;;;none;;;True;5.4;5.0;9;BAYES_99|BAYES_999|HTML_FONT_LOW_CONTRAST|HTML_IMAGE_RATIO_04|HTML_MESSAGE|KHOP_HELO_FCRDNS|NORMAL_HTTP_TO_IP|NUMERIC_HTTP_ADDR|T_FILL_THIS_FORM_SHORT;SPAMD/1.1 0 EX_OK;"Content-length: 842 | Spam: True ; 5.4 / 5.0"
baseline;spam;00101.5a24bf3ba3962442179b1a0325a1d1cb;;;;none;;;True;25.3;5.0;22;BAYES_99|BAYES_999|DOS_OE_TO_MX|END_FUTURE_EMAILS|FORGED_OUTLOOK_HTML|FORGED_YAHOO_RCVD|FREEMAIL_ENVFROM_END_DIGIT|FREEMAIL_FROM|FREEMAIL_REPLYTO_END_DIGIT|HTML_FONT_LOW_CONTRAST|HTML_MESSAGE|MIME_HTML_ONLY|MISSING_MIMEOLE|MSGID_OUTLOOK_INVALID|NORDNS_LOW_CONTRAST|NO_RDNS_DOTCOM_HELO|RATWARE_MS_HASH|RCVD_FAKE_HELO_DOTCOM|RDNS_NONE|REPTO_QUOTE_YAHOO|SPOOFED_FREEMAIL|SPOOFED_FREEMAIL_NO_RDNS;SPAMD/1.1 0 EX_OK;"Content-length: 1118 | Spam: True ; 25.3 / 5.0"
baseline;spam;00104.67ea4a37ac02d37f4baa7631ba17a824;;;;none;;;True;9.4;5.0;9;BAYES_99|BAYES_999|END_FUTURE_EMAILS|FREEMAIL_FORGED_REPLYTO|FREEMAIL_REPLYTO_END_DIGIT|FROM_DOMAIN_NOVOWEL|MSGID_FROM_MTA_HEADER|RDNS_NONE|TO_MALFORMED	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 827 | Spam: True ; 9.4 / 5.0"
baseline;spam;00105.d8f25617befc5289aa4ed9602457050b;;;;none;;;True;21.7;5.0;14;BAYES_99|BAYES_999|DATE_IN_FUTURE_03_06|END_FUTURE_EMAILS|FORGED_YAHOO_RCVD|FREEMAIL_ENVFROM_END_DIGIT|FREEMAIL_FROM|FSL_HELO_BARE_IP_2|INVALID_MSGID|KHOP_HELO_FCRDNS|MISSING_MIMEOLE|MSGID_OUTLOOK_INVALID|SPOOFED_FREEMAIL|XPRIO;SPAMD/1.1 0 EX_OK;"Content-length: 885 | Spam: True ; 21.7 / 5.0"
baseline;spam;00113.0449844c534e41730bb7a0ab513580e9;;;;none;;;True;22.2;5.0;13;BAYES_99|BAYES_999|BODY_URI_ONLY|DATE_IN_FUTURE_06_12|DRUGS_ERECTILE|DRUG_ED_CAPS|DRUG_ED_ONLINE|INVALID_DATE_TZ_ABSURD|MISSING_MIMEOLE|MSGID_OUTLOOK_INVALID|RATWARE_MS_HASH|RATWARE_OUTLOOK_NONAME|XPRIO	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 914 | Spam: True ; 22.2 / 5.0"
baseline;spam;00115.c97af50ef7ccd816f95bbdc6f4d226b2;;;;none;;;True;11.9;5.0;9;BAYES_99|BAYES_999|FREEMAIL_FROM|MSGID_OUTLOOK_INVALID|RATWARE_EGROUPS|RATWARE_MS_HASH|SPOOFED_FREEMAIL|SUBJ_ALL_CAPS|WEIRD_PORT;SPAMD/1.1 0 EX_OK;"Content-length: 764 | Spam: True ; 11.9 / 5.0"
baseline;spam;00120.58579af867ff9a702cff23e7b8818a59;;;;none;;;True;7.6;5.0;11;BAYES_99|BAYES_999|DIET_1|HTML_IMAGE_ONLY_08|HTML_MESSAGE|HTML_SHORT_LINK_IMG_1|MIME_QP_LONG_LINE|MSGID_DOLLARS_URI_IMG|NORMAL_HTTP_TO_IP|NUMERIC_HTTP_ADDR|T_REMOTE_IMAGE;SPAMD/1.1 0 EX_OK;"Content-length: 888 | Spam: True ; 7.6 / 5.0"
baseline;spam;00123.a5ee0040ec9a30b3f32f61e547fa5f8f;;;;none;;;True;20.0;5.0;20;AXB_XMAILER_MIMEOLE_OL_024C2|BAYES_99|BAYES_999|EXCUSE_24|FORGED_MUA_OUTLOOK|FORGED_OUTLOOK_HTML|FORGED_OUTLOOK_TAGS|FORGED_YAHOO_RCVD|FREEMAIL_ENVFROM_END_DIGIT|FREEMAIL_FROM|FSL_HELO_BARE_IP_2|HTML_MESSAGE|MIME_HTML_ONLY|MSGID_FROM_MTA_HEADER|MSOE_MID_WRONG_CASE|RDNS_NONE|SPOOFED_FREEMAIL|SPOOFED_FREEMAIL_NO_RDNS|THIS_AD|TO_NO_BRKTS_MSFT;SPAMD/1.1 0 EX_OK;"Content-length: 1211 | Spam: True ; 20.0 / 5.0"
baseline;spam;00127.3500d109361b544b0937523adb763588;;;;none;;;True;8.5;5.0;8;BAYES_99|BAYES_999|BODY_ENHANCEMENT|GUARANTEED_100_PERCENT|NORMAL_HTTP_TO_IP|NO_RDNS_DOTCOM_HELO|NUMERIC_HTTP_ADDR|WEIRD_PORT;SPAMD/1.1 0 EX_OK;"Content-length: 842 | Spam: True ; 8.5 / 5.0"
baseline;spam;00128.721b6b20d5834d490662e2ae8c5c0684;;;;none;;;True;14.0;5.0;12;BAYES_99|BAYES_999|FREEMAIL_FROM|FSL_HELO_BARE_IP_2|MSGID_OUTLOOK_INVALID|RATWARE_MS_HASH|RDNS_NONE|SPOOFED_FREEMAIL|SPOOFED_FREEMAIL_NO_RDNS|SUBJ_ALL_CAPS|TO_NO_BRKTS_MSFT|WEIRD_PORT;SPAMD/1.1 0 EX_OK;"Content-length: 814 | Spam: True ; 14.0 / 5.0"
baseline;spam;00130.1ad579dc65cd646549fe87f565bdec5c;;;;none;;;True;11.9;5.0;13;BAD_CREDIT|BAYES_99|BAYES_999|END_FUTURE_EMAILS|FREEMAIL_ENVFROM_END_DIGIT|FREEMAIL_FROM|FREEMAIL_REPLY|MISSING_MIMEOLE|NORMAL_HTTP_TO_IP|NUMERIC_HTTP_ADDR|SPOOFED_FREEMAIL|SUBJ_ALL_CAPS|UNPARSEABLE_RELAY;SPAMD/1.1 0 EX_OK;"Content-length: 901 | Spam: True ; 11.9 / 5.0"
baseline;spam;00144.a439c28b51d6b53f4fbf3bf427b55ed2;;;;none;;;True;11.0;5.0;7;BAD_CREDIT|BAYES_99|BAYES_999|FSL_HELO_BARE_IP_2|INVALID_MSGID|MISSING_MIMEOLE|MSGID_OUTLOOK_INVALID;SPAMD/1.1 0 EX_OK;"Content-length: 758 | Spam: True ; 11.0 / 5.0"
baseline;spam;00153.6a5ffe584834ea334041ab958cadcadb;;;;none;;;True;7.5;5.0;6;BAYES_99|BAYES_999|FORGED_MUA_OUTLOOK|HEADER_FROM_DIFFERENT_DOMAINS|MAILING_LIST_MULTI|MSOE_MID_WRONG_CASE;SPAMD/1.1 0 EX_OK;"Content-length: 780 | Spam: True ; 7.5 / 5.0"
baseline;spam;00154.b6c448ccff434e2dbe2c7c200a36aa31;;;;none;;;True;17.2;5.0;14;BAYES_99|BAYES_999|DATE_IN_FUTURE_06_12|FREEMAIL_ENVFROM_END_DIGIT|FREEMAIL_FROM|INVALID_DATE_TZ_ABSURD|LOTS_OF_MONEY|MONEY_NOHTML|MSGID_OUTLOOK_INVALID|RATWARE_MS_HASH|RATWARE_OUTLOOK_NONAME|RDNS_NONE|SPOOFED_FREEMAIL|SPOOFED_FREEMAIL_NO_RDNS;SPAMD/1.1 0 EX_OK;"Content-length: 935 | Spam: True ; 17.2 / 5.0"
baseline;spam;00155.b043f6801a72ada945205709c44c8ac4;;;;none;;;True;18.1;5.0;18;BAYES_99|BAYES_999|DATE_IN_PAST_96_XX|FORGED_HOTMAIL_RCVD2|FREEMAIL_FROM|FSL_HELO_NON_FQDN_1|HELO_NO_DOMAIN|HTML_COMMENT_SAVED_URL|HTML_FONT_TINY_NORDNS|HTML_MESSAGE|MIME_HTML_ONLY|NORMAL_HTTP_TO_IP|NUMERIC_HTTP_ADDR|RDNS_NONE|SPOOFED_FREEMAIL|SPOOFED_FREEMAIL_NO_RDNS|SUSPICIOUS_RECIPS|T_KAM_HTML_FONT_INVALID;SPAMD/1.1 0 EX_OK;"Content-length: 1146 | Spam: True ; 18.1 / 5.0"
baseline;spam;00159.6b641c70d79fd5a69b84a94b4e88150a;;;;none;;;True;16.0;5.0;11;BAYES_99|BAYES_999|DATE_IN_PAST_96_XX|HEADER_FROM_DIFFERENT_DOMAINS|INVALID_DATE|MAILING_LIST_MULTI|MISSING_MIMEOLE|MONEY_BACK|MSGID_OUTLOOK_INVALID|RATWARE_MS_HASH|RDNS_NONE;SPAMD/1.1 0 EX_OK;"Content-length: 868 | Spam: True ; 16.0 / 5.0"
baseline;spam;00160.cec5f611ae665ff0add6c4928d47f2be;;;;none;;;True;21.4;5.0;18;BANG_GUAR|BAYES_99|BAYES_999|DATE_IN_FUTURE_06_12|DIET_1|FSL_HELO_NON_FQDN_1|GUARANTEED_100_PERCENT|HELO_NO_DOMAIN|HTTP_ESCAPED_HOST|HTTP_EXCESSIVE_ESCAPES|INVALID_DATE_TZ_ABSURD|KHOP_HELO_FCRDNS|MSGID_OUTLOOK_INVALID|MSOE_MID_WRONG_CASE|PDS_RDNS_DYNAMIC_FP|RATWARE_MS_HASH|RDNS_DYNAMIC|SUSPICIOUS_RECIPS;SPAMD/1.1 0 EX_OK;"Content-length: 2226 | Spam: True ; 21.4 / 5.0"
baseline;spam;00161.37836bbc77bdab253f914d7a5233badb;;;;none;;;True;19.4;5.0;21;BAD_CREDIT|BAYES_99|BAYES_999|CONTENT_AFTER_HTML_WEAK|DATE_IN_PAST_96_XX|FREEMAIL_FROM|FREEMAIL_REPLYTO|HTML_MESSAGE|HTML_OBFUSCATE_10_20|HTML_SHRT_CMNT_OBFU_MANY|IP_LINK_PLUS|MIME_HTML_ONLY|MSGID_FROM_MTA_HEADER|NORMAL_HTTP_TO_IP|NUMERIC_HTTP_ADDR|OBFUSCATING_COMMENT|RDNS_NONE|SPOOFED_FREEMAIL|SPOOFED_FREEMAIL_NO_RDNS|SPOOFED_FREEM_REPTO|SUSPICIOUS_RECIPS	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1169 | Spam: True ; 19.4 / 5.0"
baseline;spam;00163.2ceade6f8b0c1c342f5f95d57ac551f5;;;;none;;;True;20.9;5.0;17;BAYES_99|BAYES_999|DATE_IN_PAST_96_XX|FREEMAIL_FORGED_FROMDOMAIN|FREEMAIL_FROM|FREEMAIL_REPLYTO_END_DIGIT|HEADER_FROM_DIFFERENT_DOMAINS|INVALID_DATE|MAILING_LIST_MULTI|MISSING_MIMEOLE|MONEY_BACK|MSGID_OUTLOOK_INVALID|MSOE_MID_WRONG_CASE|RATWARE_MS_HASH|RCVD_FAKE_HELO_DOTCOM|RDNS_NONE|SPOOFED_FREEMAIL_NO_RDNS;SPAMD/1.1 0 EX_OK;"Content-length: 1035 | Spam: True ; 20.9 / 5.0"
baseline;spam;00169.86268e75abd1bd4bda4d6c129681df34;;;;none;;;False;2.2;5.0;2;BAYES_80|HEADER_FROM_DIFFERENT_DOMAINS;SPAMD/1.1 0 EX_OK;"Content-length: 1333 | Spam: False ; 2.2 / 5.0"
baseline;spam;00172.0935a6d0aef9a3d6d64e07e3f6c453ec;;;;none;;;False;1.6;5.0;3;BAYES_50|MSGID_FROM_MTA_HEADER|RDNS_NONE;SPAMD/1.1 0 EX_OK;"Content-length: 982 | Spam: False ; 1.6 / 5.0"
baseline;spam;00173.e10eb62e2c7808674c43d6a5e9e08a1c;;;;none;;;True;13.9;5.0;18;BANG_GUAR|BAYES_99|BAYES_999|DIET_1|FREEMAIL_FROM|HIDE_WIN_STATUS|HTML_MESSAGE|HTML_SHRT_CMNT_OBFU_MANY|MIME_HTML_ONLY|NORMAL_HTTP_TO_IP|NO_RDNS_DOTCOM_HELO|NUMERIC_HTTP_ADDR|OBFUSCATING_COMMENT|RDNS_NONE|SPOOFED_FREEMAIL|SPOOFED_FREEMAIL_NO_RDNS|SUSPICIOUS_RECIPS|WEIRD_PORT	autolearn=disabled;SPAMD/1.1 0 EX_OK;"Content-length: 1035 | Spam: True ; 13.9 / 5.0"
baseline;spam;00179.ef2f7cf60806a96b59f4477b025580ee;;;;none;;;True;11.1;5.0;15;ADVANCE_FEE_5_NEW_MONEY|BAD_CREDIT|BAYES_50|FORM_FRAUD_5|FREEMAIL_ENVFROM_END_DIGIT|FREEMAIL_FROM|FREEMAIL_REPLY|HTML_MESSAGE|LOTS_OF_MONEY|MONEY_FORM_SHORT|RDNS_NONE|SPOOFED_FREEMAIL|SPOOFED_FREEMAIL_NO_RDNS|T_FILL_THIS_FORM_SHORT|URG_BIZ;SPAMD/1.1 0 EX_OK;"Content-length: 886 | Spam: True ; 11.1 / 5.0"
baseline;spam;00180.751cb63992e172566b3a296d970c425d;;;;none;;;True;5.2;5.0;6;BAYES_99|BAYES_999|FREEMAIL_FORGED_FROMDOMAIN|FREEMAIL_FROM|HEADER_FROM_DIFFERENT_DOMAINS|SPOOFED_FREEMAIL;SPAMD/1.1 0 EX_OK;"Content-length: 784 | Spam: True ; 5.2 / 5.0"
baseline;spam;00182.1b9ba0f95506a6f2bf256f40fad0687d;;;;none;;;True;21.3;5.0;16;BAYES_99|BAYES_999|BIGNUM_EMAILS_MANY|FIN_FREE|FORM_FRAUD_3|HEADER_FROM_DIFFERENT_DOMAINS|HK_RANDOM_ENVFROM|HK_RANDOM_FROM|HK_RANDOM_REPLYTO|LOTS_OF_MONEY|MONEY_FORM_SHORT|MONEY_FRAUD_3|MONEY_NOHTML|THIS_AD|TO_NO_BRKTS_PCNT|T_FILL_THIS_FORM_SHORT;SPAMD/1.1 0 EX_OK;"Content-length: 927 | Spam: True ; 21.3 / 5.0"
baseline;spam;00185.8ca19012fa3f2a906f23c3b41f11ffed;;;;none;;;True;6.8;5.0;3;BAYES_95|DATE_IN_PAST_96_XX|KHOP_HELO_FCRDNS;SPAMD/1.1 0 EX_OK;"Content-length: 687 | Spam: True ; 6.8 / 5.0"
baseline;spam;00186.a66b4fc4ab114c9cb37e1a31d1ea1aeb;;;;none;;;True;6.4;5.0;11;BAYES_99|BAYES_999|HTML_FONT_LOW_CONTRAST|HTML_IMAGE_RATIO_04|HTML_MESSAGE|KHOP_HELO_FCRDNS|LOTS_OF_MONEY|MSGID_DOLLARS_URI_IMG|NORMAL_HTTP_TO_IP|NUMERIC_HTTP_ADDR|T_FILL_THIS_FORM_SHORT;SPAMD/1.1 0 EX_OK;"Content-length: 848 | Spam: True ; 6.4 / 5.0"
baseline;spam;00187.3fb9a7078bff0530ea52484a32c5d7e0;;;;none;;;False;4.7;5.0;4;BAYES_99|BAYES_999|HEADER_FROM_DIFFERENT_DOMAINS|RDNS_NONE;SPAMD/1.1 0 EX_OK;"Content-length: 1316 | Spam: False ; 4.7 / 5.0"
baseline;spam;00187.efd97ab2034b3384606e21db00014ecb;;;;none;;;True;21.7;5.0;17;BAYES_99|BAYES_999|DATE_IN_PAST_12_24|FORGED_YAHOO_RCVD|FREEMAIL_ENVFROM_END_DIGIT|FREEMAIL_FROM|FREEMAIL_REPLYTO_END_DIGIT|INVALID_DATE|MSGID_OUTLOOK_INVALID|MSOE_MID_WRONG_CASE|RATWARE_MS_HASH|RCVD_FAKE_HELO_DOTCOM|RDNS_NONE|SPOOFED_FREEMAIL|SPOOFED_FREEMAIL_NO_RDNS|WEIRD_QUOTING|XPRIO;SPAMD/1.1 0 EX_OK;"Content-length: 987 | Spam: True ; 21.7 / 5.0"
baseline;spam;00188.b12197b37ceb97fa0cd802566c1e08db;;;;none;;;True;5.2;5.0;6;BAYES_99|BAYES_999|FREEMAIL_FORGED_FROMDOMAIN|FREEMAIL_FROM|HEADER_FROM_DIFFERENT_DOMAINS|SPOOFED_FREEMAIL;SPAMD/1.1 0 EX_OK;"Content-length: 840 | Spam: True ; 5.2 / 5.0"
baseline;spam;00190.ee2ea200e7efa602221c6492f9d9d8c0;;;;none;;;True;6.8;5.0;8;BAYES_99|BAYES_999|FREEMAIL_FORGED_FROMDOMAIN|FREEMAIL_FROM|HEADER_FROM_DIFFERENT_DOMAINS|RDNS_NONE|SPOOFED_FREEMAIL|SPOOFED_FREEMAIL_NO_RDNS;SPAMD/1.1 0 EX_OK;"Content-length: 869 | Spam: True ; 6.8 / 5.0"
baseline;spam;00191.9ff80a41f015b7a6c409732e41c0df07;;;;none;;;True;10.6;5.0;7;BAYES_99|BAYES_999|DATE_IN_FUTURE_12_24|EXCUSE_REMOVE|HTML_IMAGE_ONLY_32|HTML_MESSAGE|KHOP_HELO_FCRDNS;SPAMD/1.1 0 EX_OK;"Content-length: 785 | Spam: True ; 10.6 / 5.0"
baseline;spam;00194.767c323b4ae7a4909397e42cbd0c56a4;;;;none;;;True;17.9;5.0;15;BAYES_50|DATE_IN_PAST_03_06|DOS_OE_TO_MX|FORGED_MUA_OUTLOOK|FSL_HELO_NON_FQDN_1|HELO_NO_DOMAIN|INVALID_DATE|KHOP_HELO_FCRDNS|MIMEOLE_DIRECT_TO_MX|MIME_BASE64_TEXT|MSOE_MID_WRONG_CASE|NO_FM_NAME_IP_HOSTN|PDS_RDNS_DYNAMIC_FP|RDNS_DYNAMIC|XPRIO;SPAMD/1.1 0 EX_OK;"Content-length: 1054 | Spam: True ; 17.9 / 5.0"
