message_id;baseline_score;baseline_spam_flag;baseline_rule_count;n_variants;salted_score_mean;salted_score_min;salted_score_max;salted_rule_count_mean;salted_any_spam;salted_all_spam;salted_any_bypass;salted_all_bypass
00163.2ceade6f8b0c1c342f5f95d57ac551f5;20.9;True;17;4;19.9;19.9;19.9;16;True;True;False;False
00169.86268e75abd1bd4bda4d6c129681df34;2.2;False;2;4;2.2;2.2;2.2;2;False;False;True;True
00172.0935a6d0aef9a3d6d64e07e3f6c453ec;1.6;False;3;4;1.6;1.6;1.6;3;False;False;True;True
00173.e10eb62e2c7808674c43d6a5e9e08a1c;13.9;True;18;4;13.9;13.9;13.9;18;True;True;False;False
00179.ef2f7cf60806a96b59f4477b025580ee;11.1;True;15;4;11.1;11.1;11.1;15;True;True;False;False
00180.751cb63992e172566b3a296d970c425d;5.2;True;6;4;5.2;5.2;5.2;6;True;True;False;False
00182.1b9ba0f95506a6f2bf256f40fad0687d;21.3;True;16;4;21.3;21.3;21.3;16;True;True;False;False
00185.8ca19012fa3f2a906f23c3b41f11ffed;6.8;True;3;4;6.05;5.8;6.8;3;True;True;False;False
00186.a66b4fc4ab114c9cb37e1a31d1ea1aeb;6.4;True;11;4;7.15;6.4;7.4;11.75;True;True;False;False
00187.3fb9a7078bff0530ea52484a32c5d7e0;4.7;False;4;4;4.5;4.5;4.5;3;False;False;True;True
00187.efd97ab2034b3384606e21db00014ecb;21.7;True;17;4;19.5;19.5;19.5;16;True;True;False;False
00188.b12197b37ceb97fa0cd802566c1e08db;5.2;True;6;4;5.2;5.2;5.2;6;True;True;False;False
00190.ee2ea200e7efa602221c6492f9d9d8c0;6.8;True;8;4;6.8;6.8;6.8;8;True;True;False;False
00191.9ff80a41f015b7a6c409732e41c0df07;10.6;True;7;4;10.6;10.6;10.6;7;True;True;False;False
00194.767c323b4ae7a4909397e42cbd0c56a4;17.9;True;15;4;13.9;13.9;13.9;13;True;True;False;False
00196.dd21040c7757d477c967ae71b537810e;15.7;True;18;4;15.7;15.7;15.7;18;True;True;False;False
00198.150ad975a44e356b479b88d8b57edc40;6.8;True;8;4;6.8;6.8;6.8;8;True;True;False;False
00207.0b71ac81a360455c1514f5872564b1e1;20.6;True;15;4;18.8;18.8;18.8;14;True;True;False;False
00209.5276f967533f2ce0209c1eff631a86ff;6.4;True;10;4;6.4;6.4;6.4;10;True;True;False;False
00211.4a52fb081c7087c4a82402342751e755;22.7;True;13;4;18.6;18.6;18.6;11;True;True;False;False
00214.1367039e50dc6b7adb0f2aa8aba83216;5.4;True;9;4;5.4;5.4;5.4;9;True;True;False;False
00217.43b4ef3d9c56cf42be9c37b546a19e78;18.6;True;21;4;17.4;17.4;17.4;20;True;True;False;False
00224.0654fe0af51e1dcefa0eb66eb932f55f;9.4;True;12;4;7.2;7.2;7.2;9;True;True;False;False
00228.cf58326ab05a757c7e759acc8d6b360d;13.4;True;14;4;13.4;13.4;13.4;14;True;True;False;False
00231.8c72952de376293bc38d30834c0bb580;14.8;True;19;4;14.8;14.8;14.8;19;True;True;False;False
00233.3c32285387ebc0675adb029b9e20e581;5.5;True;10;4;5.5;5.5;5.5;10;True;True;False;False
00236.a46588c69d43e80c618038b95eff2893;10.6;True;12;4;10.6;10.6;10.6;12;True;True;False;False
00246.4dc5830a5a3e1fda805613b61822bac8;12.8;True;14;4;12.8;12.8;12.8;14;True;True;False;False
00248.2212008dd1bd6e4d2326d8c6ce81d01a;19.4;True;19;4;19.4;19.4;19.4;19;True;True;False;False
00248.b243bca51ee69d6e428ca2f45f0fe41b;5.4;True;9;4;5.4;5.4;5.4;9;True;True;False;False
00249.5f45607c1bffe89f60ba1ec9f878039a;14.0;True;8;4;14.0;14.0;14.0;8;True;True;False;False
00251.6b4b7e79e1706156839a00817d774e37;19.0;True;17;4;19.0;19.0;19.0;17;True;True;False;False
00261.12b64e557e52daf5fc5a52e47df2f4e3;7.0;True;8;4;7.0;7.0;7.0;8;True;True;False;False
00263.32b258c4cc08d235b2ca36fc16074f08;11.5;True;9;4;11.05;10.3;11.3;8.75;True;True;False;False
00264.02b614f34aa0d5970959123b9386b285;8.8;True;6;4;8.8;8.8;8.8;6;True;True;False;False
00279.1d58a13e343c1e53aca2ed2121a3f815;29.5;True;21;4;25.8;25.8;25.8;18;True;True;False;False
00280.026da2bd191f11081b8d8428134b0c66;15.1;True;12;4;15.1;15.1;15.1;12;True;True;False;False
00284.227c1ebb961320cd2086d904d698c49b;5.4;True;9;4;5.4;5.4;5.4;9;True;True;False;False
00287.b0495a4dbdff36654c3b3ee2f92bdbf3;14.1;True;18;4;11.8;11.8;11.8;17;True;True;False;False
00289.61a681a72c71512f115ad65033acc7c9;2.9;False;3;4;0.8;0.8;0.8;1;False;False;True;True
00291.7aa227e74e89bdd529a3875459d0d5a2;6.4;True;11;4;7.15;6.4;7.4;11.75;True;True;False;False
00292.dbf78a2aaa230d288eb80ab843804252;9.7;True;9;4;10.299999999999999;9.7;12.1;9.25;True;True;False;False
00296.85aa16f800e0aaf8755cdf23d7e035ff;6.4;True;12;4;6.4;6.4;6.4;12;True;True;False;False
00302.7f695c69d4cbe06e91cddd2ca7cddf33;9.2;True;8;4;9.2;9.2;9.2;8;True;True;False;False
00303.22239f1393297a691eb5df3dfe7a5001;18.5;True;13;4;16.2;16.2;16.2;12;True;True;False;False
00305.1f2a712e25638b0a4868155b37022cf1;15.0;True;19;4;15.0;15.0;15.0;19;True;True;False;False
00305.f80c21904d6d4f6facd036450a588b0d;3.0;False;5;4;3.575;3.0;5.3;5.25;True;False;True;False
00308.fc90f8aab51648329b9e705c9021b204;5.4;True;9;4;5.4;5.4;5.4;9;True;True;False;False
00311.176626eb0ec0de8f451a079083104975;6.9;True;11;4;6.8;6.8;6.8;10;True;True;False;False
00312.5034fee7d265abd7a4194e9300de24bf;13.1;True;19;4;13.1;13.1;13.1;19;True;True;False;False
00319.a99dff9c010e00ec182ed5701556d330;-0.1;False;4;4;-0.1;-0.1;-0.1;3;False;False;True;True
00333.050a95c5ed10d1e01e5da42d27d087bd;21.9;True;19;4;21.9;21.9;21.9;19;True;True;False;False
00337.813498483bc80a24c002e6e7e8e0f2cb;5.7;True;5;4;4.95;4.7;5.7;5;True;False;True;False
00344.17882edad13c2c761e6d8d99eef5a346;7.1;True;13;4;7.1;7.1;7.1;12;True;True;False;False
00344.e6463530b23a12554d2e6f0e08ae10a7;6.3;True;8;4;6.3;6.3;6.3;8;True;True;False;False
00345.613b3c2aeac033eebb379c91b8ce9fba;6.5;True;9;4;6.5;6.5;6.5;9;True;True;False;False
00346.d93a823fb3350a5da8f0c612ce1156cd;11.1;True;10;4;6.1;6.1;6.1;8;True;True;False;False
00354.dca4b8984863a76ffd01a33888498288;18.8;True;18;4;18.8;18.8;18.8;18;True;True;False;False
00356.ea7eb32330fa6bf65270023c0d99e2c5;18.8;True;18;4;18.7;18.7;18.7;17;True;True;False;False
00359.90bec90ebeaf05f024f48594e7d7b0d5;19.9;True;18;4;17.7;17.7;17.7;15;True;True;False;False
00360.3c1e6c84cb93d024c1f1aa85cd56ac9c;2.4;False;2;4;1.9;1.9;1.9;2;False;False;True;True
00361.e91ac048b0ede961d3f51009eee1c620;8.6;True;12;4;8.6;8.6;8.6;11;True;True;False;False
00369.845eeb9573484bd88a6a6224c7068d81;19.9;True;21;4;19.9;19.9;19.9;21;True;True;False;False
00373.ebe8670ac56b04125c25100a36ab0510;4.7;False;7;4;4.6;4.6;4.6;6;False;False;True;True
00374.b174d1e94449f519f3ceba87e7cefea7;6.3;True;5;4;6.3;6.3;6.3;5;True;True;False;False
00384.2054d62f06fd10e4018a43e156b32acf;8.3;True;11;4;8.3;8.3;8.3;11;True;True;False;False
00386.6074f269f0bd1aec1546f9e654e8fcfe;11.4;True;8;4;11.4;11.4;11.4;8;True;True;False;False
00388.a884c42d4423d7e4718db0145b3b9d9b;26.4;True;21;4;23.825;23.7;24.2;20;True;True;False;False
00395.74aee42fac915ca758047506ec59a21f;27.1;True;23;4;23.0;23.0;23.0;21;True;True;False;False
00409.1faf0d6f87e8b70f0bb05b9040d56fca;9.9;True;11;4;9.9;9.9;9.9;11;True;True;False;False
00409.e59f63e813b6766a9a4ddf0790634ca3;27.1;True;18;4;27.1;27.1;27.1;17;True;True;False;False
00413.28e8cb47d7429bf78c711079da50fcd4;14.7;True;13;4;13.6;13.6;13.6;12;True;True;False;False
00414.583be7dd0ab2492309a3fbd7960e90be;13.6;True;15;4;13.6;13.6;13.6;15;True;True;False;False
00415.4af357c0282481dba8f1765f0bf09c09;5.4;True;9;4;5.4;5.4;5.4;9;True;True;False;False
00416.bff1badad869f205fdb54f311f060734;18.4;True;22;4;17.2;17.2;17.2;21;True;True;False;False
00426.36b36cbe96efe9001c4d80363ea7ed4e;6.8;True;8;4;6.8;6.8;6.8;8;True;True;False;False
00426.c743511223777504c01a35f90914b230;12.9;True;16;4;12.9;12.9;12.9;16;True;True;False;False
00428.5fe2c974b49315a6fbf9f3b09b47f030;14.9;True;20;4;14.9;14.9;14.9;20;True;True;False;False
00430.d2179c2841013fea688db8bbcf60b3b0;4.6;False;9;4;4.6;4.6;4.6;9;False;False;True;True
00439.eacffbae5543e6be58178c0d3eb95041;20.9;True;18;4;20.9;20.9;20.9;18;True;True;False;False
00440.647d9eb44fd0cb069ea92be204966a8e;16.3;True;14;4;16.3;16.3;16.3;14;True;True;False;False
00441.77768298934252b2fa200e7d9482993b;9.2;True;14;4;9.2;9.2;9.2;14;True;True;False;False
00445.a5edbd936b830407d1a56b31ff3b82c0;20.5;True;21;4;20.5;20.5;20.5;21;True;True;False;False
00447.32e588c3a1d8888d737f360f825713b8;5.1;True;9;4;5.1;5.1;5.1;9;True;True;False;False
00450.93d3d59fcdd0f8fda9ef4678535182e8;12.3;True;16;4;12.3;12.3;12.3;16;True;True;False;False
00453.456abc0bc83034492888f63725796d5b;16.3;True;18;4;15.1;15.1;15.1;17;True;True;False;False
00455.8ccdcb205b6f8c3958bb3b2d39edca46;7.4;True;5;4;4.5;4.5;4.5;4;False;False;True;True
00458.62211764fde0dd7128ea4146268b40dd;15.7;True;12;4;14.5;14.5;14.5;11;True;True;False;False
00467.3748c927c32a9c4e8988dad52a843b5c;5.1;True;6;4;5.1;5.1;5.1;6;True;True;False;False
00475.71f75afb1960d619af86e1c64dcb11fc;5.4;True;10;4;5.4;5.4;5.4;10;True;True;False;False
00477.24ef7a042f97482f884387c75249380c;4.6;False;9;4;4.6;4.6;4.6;9;False;False;True;True
00479.84c58aa8adff520d7f58dfde02c1cf10;16.0;True;15;4;16.0;16.0;16.0;15;True;True;False;False
00482.f839ea522f1ee459661a6b2fbd71e823;8.7;True;5;4;5.8;5.8;5.8;4;True;True;False;False
00483.e583ffb0efd3958cdef2e9f3b043ef0d;20.5;True;21;4;20.5;20.5;20.5;21;True;True;False;False
00485.a5d28b804adbceff7fd75ed9fc8138bb;17.2;True;14;4;17.2;17.2;17.2;14;True;True;False;False
00488.29e96da757cc5566c848833e26abdd65;15.3;True;15;4;15.3;15.3;15.3;15;True;True;False;False
00494.6d13d2217c5cc00c26b72d97c7fe6014;14.9;True;13;4;14.9;14.9;14.9;13;True;True;False;False
00494.fd2efa67e63247ee89cdcf3a6fe7906d;5.9;True;10;4;5.9;5.9;5.9;10;True;True;False;False
00506.85af6cd716febc6265ac7b362a4a1da6;21.6;True;19;4;21.6;21.6;21.6;19;True;True;False;False
00509.385c788f39e46a86be4c6af8679a0c80;18.5;True;14;4;16.3;16.3;16.3;13;True;True;False;False
00510.ce04ead27e498e82285ea6dbb0837c13;6.9;True;3;4;1.625;1.5;2.0;1;False;False;True;True
00518.3b454f92294b060a41b0771941394bd3;16.8;True;16;4;16.8;16.8;16.8;16;True;True;False;False
00523.8dad1340c87f606b1f0696df64d9063c;24.5;True;21;4;24.5;24.5;24.5;21;True;True;False;False
00531.f3fffa4504c7009a03dd0d44a4562a84;16.6;True;14;4;16.6;16.6;16.6;14;True;True;False;False
00538.46858b6122a85685022250db2f25b32a;29.0;True;19;4;26.7;26.7;26.7;18;True;True;False;False
00554.c325ab7400fb7e3f053ed0cac4ed7545;14.6;True;16;4;13.4;13.4;13.4;15;True;True;False;False
00568.9099cfcce869f4ecf337fc666f04c11d;17.9;True;15;4;17.9;17.9;17.9;15;True;True;False;False
00582.2db3b12f1cbf87ef3a64d26c35561a5b;10.1;True;11;4;7.2;7.2;7.2;10.5;True;True;False;False
00602.8b839b13833d7ca3abd6f6179ccc0286;16.0;True;18;4;15.0;15.0;15.0;17;True;True;False;False
00615.e47bff6118d4ff6d98581fa6f40ab871;12.1;True;15;4;14.8;14.8;14.8;15;True;True;False;False
00631.5b4f290bc474889ff457b314996553b1;24.9;True;17;4;24.9;24.9;24.9;17;True;True;False;False
00632.f90d0f620d4a4c4976e1c5884333f329;15.4;True;9;4;15.4;15.4;15.4;9;True;True;False;False
00643.d177c04238b4299813b7d8cca9fb2f18;7.1;True;8;4;7.85;7.1;8.1;8.75;True;True;False;False
00658.2324b3351e766248275bace98fd3c7b3;16.1;True;11;4;15.475;14.9;17.2;10.25;True;True;False;False
00659.668ba8daca71e86de0ee5e412b177015;10.2;True;11;4;9.6;9.6;9.6;10;True;True;False;False
00663.4baa9521293a04306b038be1f65d4471;10.2;True;12;4;9.6;9.6;9.6;11;True;True;False;False
00667.6bf743b1b5bdfe9340d438c0661e4bff;5.4;True;9;4;5.4;5.4;5.4;9;True;True;False;False
00678.7c54f6e0fac3e7d26a9513d2c60e2b98;19.9;True;21;4;19.9;19.9;19.9;21;True;True;False;False
00680.e8df67f239cb166c5a8a78401eeeb1ba;22.8;True;20;4;22.8;22.8;22.8;20;True;True;False;False
00694.3aca5f2a3d0d2ccbc47ef868eb051abd;17.6;True;13;4;17.6;17.6;17.6;13;True;True;False;False
00697.2d221d167d2814a6a6bc7a74b65bcb0e;10.5;True;12;4;7.6;7.6;7.6;11;True;True;False;False
00701.ea27d8eea96c7d361ea78613d0a3c481;17.8;True;15;4;17.8;17.8;17.8;15;True;True;False;False
00702.ac95bc3f1e8943dd03fc78bebc0925ac;19.1;True;17;4;19.1;19.1;19.1;17;True;True;False;False
00705.df125edb37f19c87784942c7b2b164a1;6.3;True;5;4;6.3;6.3;6.3;5;True;True;False;False
00706.5116018237368c3633823b2d24f8ac86;7.6;True;8;4;7.8;7.8;7.8;8;True;True;False;False
00718.2495a50c4eab3755f338b5fe589dd52d;16.6;True;16;4;16.6;16.6;16.6;16;True;True;False;False
00727.45ac8c0efbb22514a075b99e1c57422e;12.1;True;13;4;12.1;12.1;12.1;13;True;True;False;False
00738.10deb784a63c0bdc5e78b019720f3e9f;7.3;True;11;4;7.3;7.3;7.3;11;True;True;False;False
00740.ce4777381c2bc6bee30bef6bd274233f;9.3;True;13;4;9.3;9.3;9.3;13;True;True;False;False
00757.c2da75286819a139e27438ca5c5ba762;14.2;True;12;4;14.05;13.2;16.6;12.25;True;True;False;False
00761.00d729b279723c9ae9d8f09e171db301;21.7;True;22;4;21.6;21.6;21.6;21;True;True;False;False
00762.e31568dff471c947d42869ae2f8f0779;15.8;True;19;4;15.8;15.8;15.8;20;True;True;False;False
00795.61fe820f7755e4b4e66e715ea667b338;15.4;True;10;4;15.4;15.4;15.4;10;True;True;False;False
00796.1f29c490fd2bd8581d19e3e193978a3d;21.9;True;18;4;20.4;20.4;20.4;17;True;True;False;False
00807.8abdd26ba778758f5e46b84a54ac62f4;6.6;True;7;4;6.6;6.6;6.6;7;True;True;False;False
00810.bceaa748f9cee012c466212d8a608acf;9.1;True;6;4;8.8;8.8;8.8;5;True;True;False;False
00830.079ed7d24f78024e023b82417a6fe2ca;20.0;True;15;4;20.0;20.0;20.0;15;True;True;False;False
00851.dc5452f80ba0bb8481dfc48f70380c4d;24.1;True;20;4;24.1;24.1;24.1;20;True;True;False;False
00861.e8b94fc9514d2d2cbb541b01e2dda726;23.8;True;22;4;23.8;23.8;23.8;22;True;True;False;False
00891.730d12d96dcfa7812a51d12d9a3b6a1c;8.0;True;11;4;7.625;7.5;8.0;11;True;True;False;False
00925.6ba2770acb214c661a26e54b4d03c119;19.9;True;11;4;17.0;17.0;17.0;10;True;True;False;False
00933.751d91a92c5f2a40baf68615e49b3fc2;14.5;True;14;4;14.5;14.5;14.5;14;True;True;False;False
00939.8d335bc76836e51b449de9f6b38aa0f8;13.6;True;11;4;13.35;12.6;13.6;10.75;True;True;False;False
00940.33bee147237876bc1f28b1bf21b586a0;21.9;True;20;4;19.9;19.9;19.9;19;True;True;False;False
00947.e4d80402e902f1ea42cfc539bb279afd;15.9;True;20;4;15.9;15.9;15.9;20;True;True;False;False
00948.674250d39ae9ea6d1c054fd6f7b52cee;3.7;False;4;4;3.7;3.7;3.7;4;False;False;True;True
00953.906b4905eb02cfb9a093162f3c143252;3.9;False;5;4;3.3;3.3;3.3;4;False;False;True;True
00956.bd15831ffe9661a5395b8ec491a4fed2;8.4;True;9;4;8.4;8.4;8.4;9;True;True;False;False
00962.452e4bd0724bf1139c9bc4eb9ec0fe43;18.2;True;20;4;18.2;18.2;18.2;20;True;True;False;False
00973.ca8a425093e9994271e922f4d60f775c;12.5;True;14;4;12.5;12.5;12.5;14;True;True;False;False
00994.228b5746d5f0e44e436fbc0203b3c67a;17.1;True;19;4;15.9;15.9;15.9;18;True;True;False;False
00998.92da52a65a4d039a6b9c02b0d65a1bbf;6.9;True;11;4;6.9;6.9;6.9;11;True;True;False;False
01008.5e932696d8f33950af53eb9461a014a2;7.9;True;7;4;5.9;5.9;5.9;6;True;True;False;False
01011.d4812088cad8553fb214dab8003add9b;16.7;True;17;4;14.7;14.7;14.7;16;True;True;False;False
01014.98c1d0a70f88efb979d9ca65e945363e;11.8;True;7;4;11.5;11.5;11.5;7;True;True;False;False
01016.ac6ce255291deba2f46cdd8ddba3ea01;8.7;True;11;4;8.7;8.7;8.7;11;True;True;False;False
01036.87c1f0b55cb48bd36c8863cf700cd485;7.5;True;11;4;5.4;5.4;5.4;9;True;True;False;False
01069.a8cdf944083398c026db401b13908ef9;6.2;True;11;4;6.2;6.2;6.2;11;True;True;False;False
01075.07ee7f1ab5ad6659c47baa5ef3691a80;7.2;True;10;4;7.2;7.2;7.2;10;True;True;False;False
01079.9eb95fd88f3d9d551f8c64359470ae7e;15.6;True;18;4;15.6;15.6;15.6;18;True;True;False;False
01082.9f69cd26a420837850841e71d6147a57;15.5;True;10;4;15.5;15.5;15.5;10;True;True;False;False
01104.ec267abf01fe81c42dc90dfd16c930bc;8.5;True;7;4;6.5;6.5;6.5;6.75;True;True;False;False
01105.2582a4afba9b0b06bed5d48e3e8b29df;8.5;True;7;4;6.5;6.5;6.5;6.75;True;True;False;False
01106.37f316c0f77e739cb5fe0e37aaea2046;4.9;False;7;4;3.0;3.0;3.0;6.75;False;False;True;True
01130.f286229e3c2eeb5c682204de85d903c0;17.9;True;18;4;17.9;17.9;17.9;18;True;True;False;False
01131.c9bb07673bf9f048916cd2b9b1813724;18.5;True;16;4;18.5;18.5;18.5;16;True;True;False;False
01132.3d0e60ced92087634f1433f12810096d;18.9;True;15;4;16.6;16.6;16.6;14;True;True;False;False
01140.c37701901dbb63bc34e8db544f431557;20.4;True;20;4;20.3;20.3;20.3;19;True;True;False;False
01145.a34477ade6db9376e4f8ccbfa8607881;17.0;True;14;4;17.0;17.0;17.0;14;True;True;False;False
01147.50120ae9e4f1745bf7a4178b52cd95ca;20.4;True;20;4;20.3;20.3;20.3;19;True;True;False;False
01151.e295c81d698d58f43f17bde22076cbef;25.5;True;20;4;22.75;22.7;22.9;18.25;True;True;False;False
01158.5acbdb7eb695f96c08d960a56058481d;6.1;True;11;4;6.1;6.1;6.1;11;True;True;False;False
01161.174f2cb358ca3f08f4308f87ca64842f;14.6;True;8;4;12.4;12.4;12.4;7;True;True;False;False
01165.8c661bf07a1a7a5fe8a9efc2439d17a1;6.1;True;10;4;6.1;6.1;6.1;10;True;True;False;False
01167.2ac57a0189fa2b8713202b84e587b707;7.1;True;9;4;7.1;7.1;7.1;9;True;True;False;False
01169.4e5cf6c3e8863047dbba1bfca2ebab97;13.2;True;11;4;13.2;13.2;13.2;11;True;True;False;False
01173.e0da19fcbb5649aa5104320ce38c6906;0.8;False;1;4;1.375;0.8;3.1;1.25;False;False;True;True
01179.6ee962bd413cb11865cd06c4be725c5e;2.6;False;3;4;2.6;2.6;2.6;3;False;False;True;True
01182.209dbb3bedae1ecd5ed23fb03049244e;10.6;True;8;4;10.6;10.6;10.6;8;True;True;False;False
01184.5216074bef5bb01e0b1301d375283c51;15.8;True;18;4;14.6;14.6;14.6;17;True;True;False;False
01185.e4a109756aa79e984529e2fb737857ab;22.2;True;13;4;20.0;20.0;20.0;12;True;True;False;False
01197.f88c038612948f3fa023ac83db2e2ce5;6.8;True;5;4;6.8;6.8;6.8;5;True;True;False;False
01203.f4c9144a594fb81ff323053fbd626a55;6.4;True;7;4;6.4;6.4;6.4;7;True;True;False;False
01205.47d139ac094945ae2630efb896dc4b43;18.3;True;19;4;17.1;17.1;17.1;18;True;True;False;False
01216.e293653cab0c486ba135cf8fbe6700fc;7.8;True;13;4;7.8;7.8;7.8;13;True;True;False;False
01230.0589bade8df0c343a49c6712f62dfca0;6.4;True;12;4;6.4;6.4;6.4;12;True;True;False;False
01236.903d52340bf3ed1a328b039bcd94e1c9;15.9;True;20;4;15.9;15.9;15.9;20;True;True;False;False
01240.7d6ae3682a3dd3fe457516b188eb105c;18.1;True;19;4;17.9;17.9;17.9;18;True;True;False;False
01242.3743099b115c6a8a273d8eca34a9c738;17.6;True;16;4;16.5;16.5;16.5;15;True;True;False;False
01250.2bfc033f9ced1c70e480ec75b0094431;5.4;True;9;4;5.4;5.4;5.4;9;True;True;False;False
01253.26e421b9623002d636c29f79f68a58fb;18.0;True;21;4;18.0;18.0;18.0;21;True;True;False;False
01255.e04eae4539f81463a930dfe44ebd6af8;8.7;True;16;4;8.7;8.7;8.7;16;True;True;False;False
01257.f5908ef0550cdf91bd6ae55120ecb5ce;17.3;True;13;4;17.3;17.3;17.3;13;True;True;False;False
01259.b4dff1ed93bc931b271888cd42e41b85;7.0;True;9;4;7.0;7.0;7.0;8;True;True;False;False
01267.6e9de9ba20f59c26028ebdb4550685fb;18.4;True;20;4;18.4;18.4;18.4;20;True;True;False;False
01280.34dde162b3c6b2e873fc9f094d28b0fd;7.0;True;6;4;7.0;7.0;7.0;6;True;True;False;False
01308.c46f1215ccd8cedf162e0cf308b94dcd;24.6;True;26;4;24.6;24.6;24.6;26;True;True;False;False
01311.43bfe86df65d53c5f7ca2365dc12582b;15.9;True;20;4;15.9;15.9;15.9;20;True;True;False;False
01335.ca70ab7f2d1accef8b3cf646e3004ef8;22.3;True;23;4;21.1;21.1;21.1;22;True;True;False;False
01339.d94a16532a6f42497266dcc327a40163;14.4;True;15;4;14.4;14.4;14.4;15;True;True;False;False
01342.7f89acf56fb4398340a0b07481e3193f;19.0;True;16;4;20.8;20.8;20.8;16;True;True;False;False
01355.a47c042a6e16456c5b49c18d5b3868cb;17.3;True;13;4;17.875;17.3;19.6;13.25;True;True;False;False
01359.deafa1d42658c6624c6809a446b7f369;2.7;False;7;4;0.8;0.8;0.8;4;False;False;True;True
01363.85518bca7c7cb9f35e57f3adda762ac9;6.3;True;12;4;7.05;6.3;7.3;12.75;True;True;False;False
01372.5d236077d94148a0ca71751f8f0a2e58;20.6;True;19;4;20.6;20.6;20.6;19;True;True;False;False
01374.b902d53d7f737be700d6de60a42122d9;9.0;True;7;4;9.0;9.0;9.0;7;True;True;False;False
