rule_name;rule_type;surface;breakability_u200b;score;description;expression;defined_in;defined_at_line
RCVD_IN_MSPIKE_H4;header;other;unknown;0.001 0.001 0.001 0.001;Very Good reputation (+4);eval:check_rbl_sub('mspikeg-firsttrusted', '127.0.0.19');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_mailspike.cf;48
RCVD_IN_MSPIKE_H5;header;other;unknown;0.001 0.001 0.001 0.001;Excellent reputation (+5);eval:check_rbl_sub('mspikeg-firsttrusted', '127.0.0.20');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_mailspike.cf;43
RCVD_IN_MSPIKE_L2;header;other;unknown;0.001 0.001 0.001 0.001;Suspicious reputation (-2);eval:check_rbl_sub('mspikeb-lastexternal', '127.0.0.13');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_mailspike.cf;37
RCVD_IN_MSPIKE_L3;header;other;unknown;0.001 0.001 0.001 0.001;Low reputation (-3);eval:check_rbl_sub('mspikeb-lastexternal', '127.0.0.12');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_mailspike.cf;32
RCVD_IN_MSPIKE_L4;header;other;unknown;0.001 0.001 0.001 0.001;Bad reputation (-4);eval:check_rbl_sub('mspikeb-lastexternal', '127.0.0.11');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_mailspike.cf;27
RCVD_IN_MSPIKE_L5;header;other;unknown;0.001 0.001 0.001 0.001;Very bad reputation (-5);eval:check_rbl_sub('mspikeb-lastexternal', '127.0.0.10');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_mailspike.cf;22
RCVD_IN_PBL;header;other;unknown;0 3.558 0 3.335 # n=0 n=2;Received via a relay in Spamhaus PBL;eval:check_rbl('zen-lastexternal', 'zen.spamhaus.org.', '^127\.0\.0\.1[01]$');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_dnsbl_tests.cf;67
RCVD_IN_PSBL;header;other;unknown;0 2.700 0 2.700 # n=0 n=2;Received via a relay in PSBL;eval:check_rbl('psbl-lastexternal', 'psbl.surriel.com.');/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;3857
RCVD_IN_SBL;header;other;unknown;0 2.596 0 0.141 # n=0 n=2;Received via a relay in Spamhaus SBL;eval:check_rbl_sub('zen', '127.0.0.2');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_dnsbl_tests.cf;55
RCVD_IN_SBL_CSS;header;other;unknown;0 3.558 0 3.335 # n=0 n=2;Received via a relay in Spamhaus SBL-CSS;eval:check_rbl_sub('zen', '127.0.0.3');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_dnsbl_tests.cf;73
RCVD_IN_VALIDITY_CERTIFIED;header;other;unknown;0;Sender in Validity Certification - Contact certification@validity.com;eval:check_rbl('ssc-firsttrusted', 'sa-trusted.bondedsender.org.', '^127\.0\.0\.');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_dnsbl_tests.cf;154
RCVD_IN_VALIDITY_CERTIFIED_BLOCKED;header;other;unknown;0;ADMINISTRATOR NOTICE: The query to Validity was blocked.  See https://knowledge.validity.com/hc/en-us/articles/20961730681243 for more information.;eval:check_rbl('ssc-firsttrusted', 'sa-trusted.bondedsender.org.', '127.255.255.255');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_dnsbl_tests.cf;159
RCVD_IN_VALIDITY_RPBL;header;other;unknown;0;Relay in Validity RPBL, https://senderscore.org/blocklistlookup/;eval:check_rbl('rnbl-lastexternal', 'bl.score.senderscore.com.', '^127\.0\.0\.');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_dnsbl_tests.cf;180
RCVD_IN_VALIDITY_RPBL_BLOCKED;header;other;unknown;0;ADMINISTRATOR NOTICE: The query to Validity was blocked.  See https://knowledge.validity.com/hc/en-us/articles/20961730681243 for more information.;eval:check_rbl('rnbl-lastexternal', 'bl.score.senderscore.com.', '127.255.255.255');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_dnsbl_tests.cf;185
RCVD_IN_VALIDITY_SAFE;header;other;unknown;0;Sender in Validity Safe - Contact certification@validity.com;eval:check_rbl('ssc-firsttrusted', 'sa-accredit.habeas.com.', '^127\.0\.0\.');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_dnsbl_tests.cf;167
RCVD_IN_VALIDITY_SAFE_BLOCKED;header;other;unknown;0;ADMINISTRATOR NOTICE: The query to Validity was blocked.  See https://knowledge.validity.com/hc/en-us/articles/20961730681243 for more information.;eval:check_rbl('ssc-firsttrusted', 'sa-accredit.habeas.com.', '127.255.255.255');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_dnsbl_tests.cf;172
RCVD_IN_XBL;header;other;unknown;0 0.724 0 0.375 # n=0 n=2;Received via a relay in Spamhaus XBL;eval:check_rbl('zen-lastexternal', 'zen.spamhaus.org.', '^127\.0\.0\.[4567]$');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_dnsbl_tests.cf;61
RCVD_IN_ZEN_BLOCKED;header;other;unknown;0 0.001 0 0.001;ADMINISTRATOR NOTICE: The query to zen.spamhaus.org was blocked. See https://www.spamhaus.org/returnc/vol/;eval:check_rbl('zen-lastexternal', 'zen.spamhaus.org.', '^127\.255\.255\.255$');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_dnsbl_tests.cf;85
